p,s,yield,income
1.5,,140,63550
1,,80,12710
1.75,,125,56430
2.5,,250,180400
1,0.25,100,39360
2,,160,46500
1,,70,30000
,,150,90000
3,,150,79200
1,,60,21120
1.5,,120,52360
2.5,,170,69300
1,,70,20460
1,,130,49005
2.75,,140,75020
1,2,90,27000
0,1.5,,
0,3,,
3,,125,72600
1,2,75,18480
0.25,1,12,
0.25,1.25,45,0
3,,325,177320
1,,65,0
0.5,2.5,35,0
1.5,,140,71500
3,,210,89100
3,,200,89100
1.5,1.5,170,55440
1,,110,69300
1,,95,49500
0.25,,40,0
1,2,80,31000
2,1,250,81000
3,,250,90000
1,1,80,31000
0.75,0.75,110,92250
2,,140,55660
0,0,,
1.5,,115,93610
3,,300,237600
1.5,,150,48300
0.25,2.75,22,16940
1.5,,75,54450
3,,300,118400
3,,250,135000
1,1,130,
1,,50,23760
1,,60,0
,,,
0.5,,65,31680
0.5,2.5,60,0
1.5,1.5,125,61600
3,,60,0
1.5,,75,14300
3,,300,211750
0.75,,50,13640
1.5,,150,59400
1.5,,140,55440
0,1.5,,
1,,100,16200
0,1.5,,
3,,260,109890
1.5,,100,47520
1,,90,37840
1.5,,80,26400
1,,90,28160
3,,250,112860
1.5,,120,47520
1.5,,125,47850
1,,80,29700
3,,250,118800
1.5,,140,61380
3,,250,64680
3,,200,104005
1.5,,100,35640
2,,150,75020
,0.5,,
0.5,,30,21000
3.5,,200,115500
3,1,100,70000
1.5,,140,42000
,1,,
1,0.5,80,20250
1,0.5,85,61425
3,,105,73040
,2,,
1,1.5,95,3325
2,,200,5700
1.5,,120,47560
2,,300,143910
2.5,,125,71750
3,,200,125562.5
1,,125,71750
0,2,120,7995
1.5,,82,31549.5
2.5,0.5,200,103050
3,0,600,143750
0.5,0.5,110,70000
2,1,150,61500
0.75,2.25,80,0
1.5,0,160,62100
1.5,0,350,150000
0,1,110,43050
1,2,100,30000
3.5,,480,88500
3,,300,128250
3,,200,113400
,,,
0.5,,50,12300
2,,175,102705
1.25,,150,82512.5
1,,70,79200
0.75,,90,23800
0.5,,350,194625
0,1,,
0,1,,
3,,35,0
1,,110,40095
1.5,0.5,150,61500
1,2,100,38500
1,,75,61490
1,,80,54120
3,,250,115500
1,0,100,46125
0.5,0.75,70,0
1,,72,61380
3.5,,400,245000
1.5,1.5,200,64000
3,,350,144000
3,,350,198000
1,,100,27675
1,1,120,49500
1,,96,25344
1,,80,12000
3,,300,145200
1.5,0,130,79950
1,0,110,132737.5
1.5,2,120,46500
3,,200,138375
3,,350,184500
0.3,,150,66000
3,,375,264757.5
2.5,,196,240900
2.5,,78,60000
0,1,,
0,1,,
0,1.5,,
1.5,,45,0
1.5,,40,11880
2,1,100,66000
0.5,1,40,0
1.5,,60,30800
3,,120,229680
1,,,
0.5,,100,66000
0,2,,
1.25,,30,0
0.5,0.5,20,0
1.5,,100,44000
0,0.5,,
3,,160,66000
1.5,1.5,100,35875
1,0,100,55440
3,,175,78540
0.25,1,12,0
0.5,0,30,0
3,,180,158400
1,,100,55660
4,,350,300300
2.5,,150,108240
0.75,,60,29700
2,1,200,94710
0.5,1,25,0
1.5,0.75,175,123750
2,0,150,88000
0.5,1,40,0
0.5,1,8,0
3,,300,230625
0,1.5,,
0,0,,
0.5,1,25,0
3,,290,240240
3,,320,174900
0.5,0,205,180000
1.5,3,125,68000
1.25,,130,59450
0.75,0.75,70,35200
0,1.5,,
0,0,,
0,0.5,,
0,0.25,,
0.5,1,50,19250
1.5,,90,59840
1.5,,60,21120
0.5,,35,9240
2.5,,150,66000
1.75,,115,63382.5
2.5,,300,183040
3,,325,204600
2,,200,103950
3,,225,105820
3,,150,92400
0.5,,35,0
0,0.5,,
0,1,,
0.5,0,60,0
1,2,80,30000
1.5,0,130,27675
1.5,0,125,63800
0.75,0,50,23100
2.5,0.5,80,33000
2,0,70,33000
1,0,75,20350
0.25,,30,23100
1.25,0.75,150,114860
0,1,,
3,,400,224400
2,,200,102080
3,,250,123200
0.5,1,30,0
1,,100,51040
3,,200,109120
1.5,1,150,55650
2,1,150,98208
2.5,,250,127050
2,,60,11000
3,,300,207480
3,,310,212520
1.5,,120,50225
2,,200,101835
3,,195,121220
1,,100,43680
1.5,,80,27300
1,0,110,28700
3,,300,59962.5
2.5,,180,147600
1,0,110,35000
3,,300,1368010
1.5,,120,105000
3.5,,620,368401.5
1.5,,250,94095
1,0,225,124000
1,0.5,100,45000
3,,350,236980
3,,320,205000
1.5,,155,70605
2,,230,7040
1.5,1.5,150,46125
3,,325,233187.5
3,,300,277200
1.25,,105,58275
1.5,,125,61600
2,,210,104160
3,,270,134200
3,,360,250800
3,,210,105875
1.5,,150,81840
3,,240,154000
3,,300,248050
3,,220,105820
3,,205,107800
3,,250,132000
3,,,
1,,,
,,,
